card_id,prompt_context
card_001,需要舒緩日常壓力與放鬆心情
card_002,深夜失眠與無法入睡的焦慮
card_003,對未來感到迷茫與找不到方向
card_004,職場疲憊與需要適度停頓休息
card_005,精神渙散與需要重拾內在專注
card_006,清晨醒來時的未知焦慮與不安
card_007,思緒繁雜與需要洗滌內在雜念
card_008,內心感到孤獨與缺乏安全感
card_009,身心失衡與需要重新連結自我
card_010,遭遇挫折或失業時的挫敗感
card_011,悲傷低落與需要允許情緒流淌
card_012,付出無果時的失望與自我懷疑
card_013,腦袋停不下來的過度思考
card_014,失去信心與需要凝聚內在勇氣
card_015,渴望被溫柔陪伴與無條件接納
card_016,資訊過載與需要安靜的心靈角落
card_017,面對離別、改變與學會放下
card_018,緊張焦慮與需要調節呼吸節奏
card_019,人際關係疲憊與渴望做回自己
card_020,面臨抉擇時的猶豫與不確定感
card_021,極度孤獨與需要尋找微小希望
card_022,身體與肩頸緊繃需要完全放鬆
card_023,焦躁不安與需要尋求穩重力量
card_024,經歷低潮後需要重拾對生活的相信
card_025,心神不寧與需要專注於當下
card_026,體力耗盡與需要注入新鮮活力
card_027,思緒混亂與需要歸零並重拾平靜
card_028,被現實約束壓迫與渴望自由
card_029,缺乏歸屬感與渴望家一般的溫暖
card_030,局限於眼前困難與需要開闊視野
card_031,情緒過載與需要卸下內在沉重
card_032,自我懷疑與需要感受生命的純粹
card_033,夜深人靜時接納自己的不完美
card_034,受傷的心靈需要慢慢撫平與復原
