guide_id,category,text
g_010,睡前沉澱與放下,將雙手輕輕放在腹部，感受吸氣時腹部微微隆起、呼氣時慢慢沉下。每次呼氣，都想像自己把今天的疲憊與緊繃一點一滴吐出去。今晚不需要再解決任何事，讓身體進入最自然的修復模式。
g_011,睡前沉澱與放下,輕輕將頭靠在枕頭上，感受後腦勺被溫柔支撐的力量。試著從額頭開始，放鬆眼皮、咬合的牙關，再到緊繃的脖子。告訴自己：今天的任務已經結束，我可以安心地放下了。
g_012,睡前沉澱與放下,關掉燈光，讓眼睛適應深夜的安靜。如果腦海中又浮現未完成的事，請在心中默默對它們說：「謝謝你們，我們明天見。」現在，請把所有時間與能量還給自己，好好睡一覺。
g_013,睡前沉澱與放下,試著將腳趾頭用力緊縮三秒，然後瞬間釋放。感受那股從腳趾傳遞上來的鬆弛感。身體記得所有的辛苦，現在是時候讓每一個細胞都好好休息了。
g_014,睡前沉澱與放下,閉上眼睛，想像自己躺在一艘平穩的小船上，在溫暖微暗的水面上輕輕搖晃。每一次呼吸，都讓你更深入地放鬆，讓這份寧靜包圍你，帶你進入甜美的夢鄉。
g_015,睡前沉澱與放下,如果在黑夜裡感到一絲孤單，請把手掌貼在自己的心口上。感受那裡穩定而有力的心跳，它是你最忠誠的陪伴。今晚，你很安全，萬物都在沉睡，你也可以安心休息。
g_016,睡前沉澱與放下,不要去計算還能睡幾個小時，那只會增加大腦的焦慮。此刻，只需單純地享受躺在床上、被被褥包裹的舒服與溫暖。即使只是安靜地躺著，身體也在獲得美好的滋養。
g_017,睡前沉澱與放下,將手輕輕按在眉心，順時針撫平那裡隱隱皺起的紋路。告訴大腦：「辛苦了，今天你運轉得很好，現在可以休息了。」讓思緒漸漸歸零，進入純粹的平靜。
g_018,睡前沉澱與放下,聆聽周圍最微小的聲音，也許是風聲、也許是自己的呼吸聲。讓這些聲音成為你的安眠曲。把所有重擔卸在床榻上，今晚，你只需要做一個無憂無慮的做夢者。
g_019,緩解職場與日常焦慮,當感覺心跳加快、呼吸變急促時，請立刻停下手中的動作。吸氣四秒，憋氣四秒，再緩緩吐氣六秒。重複三次，讓神經系統重新找回平衡與穩定。
g_020,緩解職場與日常焦慮,請試著站起來，伸展一下雙臂，將胸腔徹底打開。吸入一口新鮮的空氣，想像把體內的悶氣與壓力隨著呼氣全部排空。你比眼前的困難更具空間與彈性。
g_021,緩解職場與日常焦慮,看著你的辦公桌或眼前的空間，找出三樣藍色的物品，或是五件觸手可及的東西。透過這個簡單的小練習，將失控的思緒重新拉回此時此刻的實體世界。
g_022,緩解職場與日常焦慮,外界的要求總是源源不絕，但你不需要成為隨叫隨到的救火隊。先停下三秒鐘，深呼吸，問問自己：「此刻我最需要的是什麼？」先照顧好自己，才能處理好事情。
g_023,緩解職場與日常焦慮,感覺思緒混亂時，拿出一張紙和一支筆，把腦海裡所有煩惱無差別地寫下來。不需要講究字蹟或條理，寫完後輕輕合上。把它們留在紙上，讓你的心重新獲得乾淨的空間。
g_024,緩解職場與日常焦慮,鬆開你咬緊的牙關，讓舌頭自然地貼在下顎。我們常在不知不覺中緊繃身體來應對壓力。當你放鬆了臉部肌肉，內心的焦慮也會跟著消退一大半。
g_025,把手放在肚子上，做三次深層的腹式呼吸。感受每一次吐氣時，肩膀自然的微微下沉。告訴自己：「這只是暫時的情境，並不代表我人生的全部，一切都會過去的。」
g_026,緩解職場與日常焦慮,暫時關掉所有的通訊軟體通知，給自己十分鐘的「不被打擾時間」。在這個小小的時間膠囊裡，你不需要對任何人負責，只需要靜靜地陪伴自己。
g_027,尋找自我與面對迷茫,找一個舒服的姿勢坐好，想像自己是一棵大樹，雙腳如同樹根般深深扎入地底。無論地表上的風雨如何吹拂，你的核心依然穩固、充滿力量。
g_028,尋找自我與面對迷茫,當你不知道未來該往哪裡去時，先別急著找方向。試著回想當初是什麼讓你充滿熱情？那些微小的初心，就是指引你走出迷霧的最亮星光。
g_029,請拿出一面鏡子，或是透過手機螢幕看著自己的眼睛。對著鏡中的自己微笑一下，輕聲說：「這段時間辛苦你了，謝謝你一直沒有放棄。」給自己一份最誠摯的肯定。
g_030,尋找自我與面對迷茫,迷茫往往是因為我們聽了太多別人的聲音，卻壓抑了自己的直覺。閉上眼，試著問內心：「如果完全不考慮別人的期待，我現在最想做什麼？」答案就在那裡。
g_031,尋找自我與面對迷茫,人生不是一條直線，而是由無數個彎道組成的探索之旅。允許自己走一點彎路，那些看似浪費的時光，往往會成為你生命中最豐富的風景。
g_032,尋找自我與面對迷茫,找一個可以看到天空的地方，靜靜注視著雲朵的變幻。雲從不擔心自己會變成什麼形狀，它只是隨風漂浮。學習雲的隨順，信任生命會帶你去到最適合的地方。
g_033,尋找自我與面對迷茫,輕輕把手放在心口，感受那股源源不絕的生命力。你所需要的智慧與勇氣，其實早已潛藏在你的內在。給自己一點時間，等待內心的種子發芽。
g_034,能量修復與自我關懷,請用雙手抱住自己的肩膀，給自己一個實實在在的擁抱。感受手臂傳遞過來的溫度，告訴自己：「無論發生什麼事，我都會堅定地站在自己這一邊。」
g_035,能量修復與自我關懷,今天請對自己寬容一點。如果不想收拾房間、不想回訊息，那就先別做吧。允許自己今天只消耗能量，不產出成果，這也是非常正當且必要的修復過程。
g_036,能量修復與自我關懷,找一個你最喜歡的香味，無論是香氛、咖啡香還是花香，深吸一口氣，讓香氣滋養你的神經。享受這個純粹帶來愉悅的瞬間，充盈你的感官。
g_037,能量修復與自我關懷,回想一下今天發生的事，試著找出三件值得感謝的微小事物。也許是通暢的交通、也許是一杯好喝的茶。感恩會像溫暖的陽光，重新點亮你內心的能量。
g_038,能量修復與自我關懷,想像你正站在一道溫暖的金色光芒下，光線從頭頂緩緩流淌至全身，洗刷掉所有的疲憊、委屈與傷害。讓這股溫暖的能量重新填滿你的身心。
g_039,能量修復與自我關懷,不要再為過去的失誤責備自己了。當時的你已經做了當下能力所及最好的選擇。輕柔地撫平內心的內疚，對自己說：「沒關係的，事情已經過去了。」
g_040,能量修復與自我關懷,去洗一個熱水澡，感受水流衝刷過每一寸肌膚。想像所有的壓力與負面情緒，都隨著水流順著排水孔流走，洗完澡後，你就是一個全新的自己。
g_041,關係與情緒解離,如果剛才的互動讓你感到生氣或受傷，請先退後一步。想像在你與對方之間拉起了一道透明的防護罩，別人的情緒是他們的責任，不需要進到你的內心。
g_042,關係與情緒解離,深呼吸，告訴自己：「我不需要贏得這場爭執，我只需要守護好自己的平靜。」放下證明自己的執念，把情緒的掌控權重新收回到自己手中。
g_043,關係與情緒解離,當你覺得被別人的評價傷害時，請握緊拳頭再慢慢鬆開。想像那些傷人的話語就像掌心中的沙子，隨著手掌打開，隨風飄散，絲毫無法定義你的價值。
g_044,關係與情緒解離,請試著把剛才讓你心煩的人或事，想像成電視螢幕上的畫面。現在，手握遙控器，將畫面調成黑白，然後慢慢按下縮小鍵與靜音鍵，讓它遠離你的注意力。
g_045,關係與情緒解離,感覺委屈想哭的時候，不需要強行忍住。找一個安全的空間，讓眼淚自然流下來。眼淚是心靈的排毒劑，哭過之後，你會發現內心變得更加清晰與堅強。
g_046,關係與情緒解離,請記得，你無法改變別人，只能改變自己看待事情的角度。把關注的焦點從「他為什麼這樣對我」轉移到「我現在該如何照顧自己」，你就會重新找回力量。
g_047,清晨醒腦與專注啟動,睜開雙眼，先別急著翻看手機。在床上輕輕伸一個大字型的大懶腰，感受筋骨拉開的舒暢。迎接新的一天，從感謝自己平安醒來開始。
g_048,清晨醒腦與專注啟動,走到窗邊，拉開窗簾，讓清晨的陽光灑在臉上。深吸一口新鮮的空氣，想像陽光化為純淨的能量注入全身，為你開啟充滿希望與活力的一天。
g_049,清晨醒腦與專注啟動,喝下一杯溫開水，感受水分滋潤乾涸了一整夜的身體。在心中為今天許下一個微小的祝福：「希望今天的我，能以從容與溫柔的心面對一切。」
g_050,清晨醒腦與專注啟動,在開始忙碌前，給自己兩分鐘靜坐。感受腳掌踏在地面上的穩固感，告訴自己：「不論今天有多少挑戰，我都有能力一步一步妥善處理。」
g_051,清晨醒腦與專注啟動,輕輕拍打自己的雙肩與手臂，喚醒沉睡的肌肉。告訴自己：「新的一天是全新的空白頁，昨天的煩惱已經留在昨天，今天我可以重新開始。」
g_052,清晨醒腦與專注啟動,準備出門或開始工作前，微笑着對自己說一聲：「加油，今天也請多多指教！」帶著這份溫和而堅定的態度，勇敢踏出今天的每一步。
