greeting_id,text
h_007,夜已經這麼深了，大腦卻還在高速運轉對吧？既然暫時睡不著，就先別逼自己了，抽張卡片讓心放空一下。
h_008,數羊數到心煩意亂了嗎？先把手機螢幕調暗，深呼吸幾次，讓文字陪伴你度過這個安靜的深夜。
h_009,睡不著的時候，往往是心裡積攢了太多話沒說。抽一張卡，看看今晚大腦想為你傳達什麼訊息。
h_010,天黑之後，世界安靜了，思緒反而熱鬧起來。別擔心，今晚的文字會溫柔地為你遞上一杯熱牛奶。
h_011,閉上眼全是今天發生的畫面嗎？沒關係，輕輕把手放在胸口，抽張卡，把煩惱交給文字吧。
h_012,又是個與失眠握手言和的夜晚。既然睡意還沒來，不如給自己一個專屬的小儀式，看看今天的溫暖指引。
h_013,時鐘滴答滴答地響，讓你越來越焦慮嗎？先別管幾點了，此刻你只需要關心自己的內心。
h_014,腦袋裡的雜音是不是像開了太多個分頁？別慌，先幫心靈按下暫停鍵，抽一張卡清理思緒。
h_015,你是不是又在為還沒發生的事情過度擔憂了？把目光收回當下，這裡只有你和這張陪伴你的卡片。
h_016,當一個體貼的人總是特別累，因為你想得太深、顧慮得太多。現在，只為自己的需要抽一張卡吧。
h_017,事情一件接一件，思緒亂成了一團麻線嗎？先別急著解開它，來聽聽卡片給你的小提示。
h_018,腦海裡的「萬一」是不是又在作祟了？深呼吸，把所有假設先放下，此刻你非常安全。
h_019,把別人的每一句話都反覆琢磨，真的很消耗能量。給過載的大腦放個假，抽一張卡放鬆一下。
h_020,停不下來的分析與比較，讓你覺得好累對嗎？讓卡片溫柔地引導你，重新找回內心的平靜。
h_021,有時候，想得太多只是因為你太在乎了。先摸摸自己的頭，感謝自己的用心，然後抽一張指引卡吧。
h_022,思緒就像烏雲一樣籠罩著你嗎？沒關係，卡片會像一陣微風，幫你吹散那些繁重的念頭。
h_023,別讓過多的想法吞噬了今天的快樂。給自己一分鐘的空白，看看卡片想帶給你什麼新的視角。
h_024,站在人生的十字路口，看不清前面的路該怎麼走嗎？沒關係，我們不需要一次看清整條路，走好下一步就好。
h_025,看著身邊的人好像都在前進，讓你感到有些焦慮嗎？別急，每個人都有自己的時區，來抽張屬於你的卡片。
h_026,未來充滿了不確定性，確實讓人有些害怕。但請相信，你比自己想像的更有力量。
h_027,不知道選擇哪條路才是對的嗎？先別逼自己做決定，抽一張卡，聽聽內心深處最真實的聲音。
h_028,焦慮未來並不能改變明天，卻會消耗今天的陽光。深呼吸，讓此刻的文字給你一份安心的力量。
h_029,感覺自己停滯不前、有些受挫嗎？成長往往是在看不見的地方扎根，抽張卡為自己加油打氣吧。
h_030,未來的答案不在遠方，就在你當下的每一個呼吸裡。來看看今天的卡片能為你帶來什麼啟發。
h_031,覺得生活失控了嗎？先找回對當下的掌控感，從抽一張卡、好好喝口水開始。
h_032,不管未來的風浪多大，此刻這個小空間是屬於你的避風港。抽張卡，讓心安頓下來。
h_033,迷茫其實是改變的開始，代表你在認真思考生活。給勇敢的自己一個擁抱，抽一張指引吧。
h_034,今天的你是不是又對自己太嚴格了？別忘了，你已經做得很好了，來抽一張卡給自己一些鼓勵。
h_035,感覺全身的電力都被抽乾了對吧？不需要強顏歡笑，在這裡你可以安心地做最真實的自己。
h_036,努力了很久卻沒看到預期的結果，讓你有些失望嗎？先停下來，讓卡片溫柔地接住你的受傷。
h_037,總是覺得自己不夠好、做得不夠多嗎？請記得，你的存在本身就很有價值，來聽聽卡片怎麼說。
h_038,照顧了所有人，卻忘了照顧自己的感受。現在這個片刻，請把所有的溫柔都留給自己。
h_039,被壓力和責任逼得快要喘不過氣了嗎？卸下你的肩頭重擔，在這裡吸一口新鮮的空氣。
h_040,即使今天過得不夠完美也完全沒有關係。允許自己偶爾軟弱，抽一張卡片充電吧。
h_041,心裡累積了好多委屈卻不知道向誰傾訴嗎？讓今天的文字成為你最忠實的傾聽者。
h_042,感覺心裡空空的，找不到動力嗎？別急著往前跑，先抽一張卡，給靈魂補充一點養分。
h_043,你不需要隨時隨地都保持堅強。累了就休息，抽張卡，看看今天有什麼溫暖的話語等著你。
h_044,早安！新的一天開始了，在忙碌前給自己一分鐘，抽一張卡片作為今天的祝福吧。
h_045,睜開眼就想到一堆待辦事項嗎？先別緊張，喝杯溫水，讓這張卡片為你開啟從容的一天。
h_046,午後的陽光正好，是不是有點昏昏欲睡？抽一張卡片，為午後的自己注入一份靈感與活力。
h_047,忙碌的午休時間，給自己三分鐘的專屬空檔。抽張卡，重整一下心情再出發。
h_048,新的一周又開始了，準備好迎接新的挑戰了嗎？讓今天的文字成為你口袋裡的幸運符。
h_049,剛處理完一件棘手的事嗎？辛苦了！抽張卡片犒賞一下剛剛表現超棒的自己。
h_050,準備下班回家了嗎？把工作的疲憊留在門外，抽一張卡，溫柔地切換回屬於自己的生活。
h_051,剛剛那場溝通讓你感到有些挫折或被誤解了嗎？沒關係，先回到這裡，給自己一個喘息的時間。
h_052,為別人考慮了那麼多，有時候覺得自己沒被重視對嗎？抽一張卡，重新看見自己的珍貴。
h_053,覺得身邊的人好像都不太懂你嗎？孤單的時候，讓卡片上的字句化作最懂你的知己。
h_054,人際關係的摩擦總是讓人心煩。先把別人的情緒還給別人，專注在照顧好自己的內心。
h_055,有時候什麼都不想做、只想靜靜發呆，這也是完全可以的。抽張卡，陪你度過這段安靜時光。
h_056,這段時間辛苦了，謝謝你一直沒有放棄。抽一張卡，接受一份專屬於你的溫暖與抱抱。
